title,ytid,caption
The Sounds - Emma,4Y5VcH7iK3Q,Instrumental surf rock with a lead electric guitar playing the melody and a rhythm electric guitar strumming chords. Ride cymbals are loud in the mix and spring reverb is used as an effect. The electric bass is playing a walking pattern.
Pumpkins Fancy - Side Drum and Bagpipes,4_s5vHgfxnw,This audio contains someone playing bagpipes with something that sounds like a traditional piece. Someone is also playing a side drum snare along. This song may be playing on the street performed by buskers.
Funktomas - How G Is The Party,4a1a-lmDVaY,This funk song features a male voice singing the main melody. Other voices sing backing vocals in harmony. A saxophone plays a repetitive melody. This is accompanied by percussion playing a funk beat. The bass plays a funky bassline. A guitar plays muted chords using a tron effect. This song is upbeat and has a happy mood. This song can be played at a retro style disco.
kashmiri song: sod roz thud tul niqab- Ghulam nabi sheikh,4i11P4OCRfk,This recording contains a dulcimer playing a melody along with loud tablas playing a lot of deep hits that are overloading the recording speakers. At the end a string sound comes underlining with long pad notes. This song may be playing in a live event.
Afraid of Mice - Trans-parents,4refolVb_uQ,"The low quality recording features a rock song that consists of reverberant male vocal singing over groovy bass, short electric guitar chords, punchy snare, soft kick hits, shimmering hi hats and soft crash cymbals. The reverb of the vocal is located in the right channel of the stereo image, which makes it sound interesting. It is easygoing and groovy."
Tarantella Napoletana - Italian Mandolin music by Antonio Calsolaro,5FlNBuS7YgM,This is an Italian folk music piece. It is a live performance recording. There is a mandolin playing the main tune of the piece while an acoustic guitar plays in the melodic background. The atmosphere of the piece is lively. This piece could be used in the soundtrack of a documentary taking place in the Mediterranean region. It could also be used in tourism agency advertisements. Another possible use is as an accompaniment piece for Italian folk dance courses.
Dream Academy - Life In A Northern Town,5UXnulANF8g,"A soft male singer with a vocal double effect accompanied by plucked string sounds, a synth pad and an oboe. The genre is soft rock with no drums."
Attwenger - shakin my brain,5UmoK5WAW8Y,"A male vocalist sings this enthusiastic song in a foreign language. The tempo is fast with infectious drumming and an animated button accordion melody. The song is a fusion of hip-hop with folk music making it unique,unconventional and experimental. It is youthful, buoyant, catchy, engaging and funky with electronic beats. This song is a fusion of Hip-Hop."
Max Mutzke - Can´t Wait Until Tonight (official Video),5ZX9Ig7XXsw,"The Soul/R&B song features a passionate male vocal singing over shimmering hi hats, energetic crash cymbals, wide acoustic rhythm guitar melody, shimmering shakers, snappy snare, piano chords and mellow bass. It sounds passionate and romantic - like something you would sing to your partner."
Beach Boys Don't worry baby Live Japan 2012,5ZpVhmhVYoI,An acoustic drum is playing along with a tambourine playing together with the snare. An e-bass is playing along with the kick of the drums. E-guitars are strumming chords as a duo while a male voice sings in a higher register. In the background you can hear male voices providing harmonies. This song may be playing live in a concert.
Half-Life 2 - Song 31.,5bn7PPKcqSA,"This music is an Electronic instrumental. The tempo is slow with synthesiser arrangements and digitally arranged sounds. The music is dark, futuristic,intense, sinister, and scary with a gothic ambiance. This music is futuristic techno pop."
Carl Jackson - Foggy Mountain Breakdown,5hEt87nd7os,"This music is instrumental. The tempo is fast with a vigorous banjo harmony, infectious drumming, auto harp, mandolin and tambourine accompaniment. The music is an upbeat, high-spirited, energetic,enthusiastic ,effervescent Country Music instrumental."
Donovan - Wear your love like heaven.,5i0zq91Ocz0,This is a psychedelic rock music piece. There is a male vocalist singing melodically in the lead. The main melody is being played by the keyboard with the backing of the electric guitar and the bass guitar. The rhythmic background consists of a rock acoustic drum beat. The atmosphere is chill and trippy. This piece could be used in the soundtrack of a drama movie or a TV series that has scenes of hallucinogenic trip sequences. It could also be playing in the background at a hippie coffee shop.
"Salsa at Mango's Tropical Cafe, Miami South Beach, FL",72_Hk1cdoxk,This low quality audio features a salsa song. A male voice sings the main melody. The audio starts off with a solo being played on a trumpet. This is accompanied by percussion playing a salsa beat. A keyboard plays chords in salsa style. Other instruments are not heard clearly due to the low quality of the audio.
Barry White - My first my last my everything (traduzione italiano),75_dMqpSM4o,This song features a male voice singing the main melody. The quality of recording is low. The musical instruments are not clearly distinguishable. The voice is accompanied by simple percussion playing in common time. The bass plays a soul type groovy bassline. This song is romantic. This song can be used in a romantic movie.
Los Lobos - Bella Maria De Mi Alma,7FHzw4HV75Y,"The Regional Mexican song features a soft piano melody, rhythm acoustic guitar, smooth bass, addictive brass melody and passionate male vocal singing on top of it. It sounds soft, mellow, passionate and emotional."
Archie McKnight - If We Survive ( NEW RNB SONG MARCH 2013 ),7FkuqqdWRhw,This is a pop R & B song with an electronic influence. We hear layers of synths driving the melodic component of the instrumental. The first synth has a repeated rapid motif that has the same beeping tone as a video game. The second synth is fuzzy and sustained.
Ivan Georgiev - Piping Live! 2008,7Ht_Vu1D8nc,"This music is a Bagpiper Instrumental. The tempo is slow with a droning , chanting melody. The melody of the music has middle eastern influences. The droning sound is incessant and hypnotic. It is charming ,sharp, and captivating."
Raya Music - Gurayaway,7IllUjk5fk0,Low pitched female singer demonstrating vocal virtuosity in free time accompanied by bird sounds.
Static-X - Black And White,7OgH3B49_E4,This is an industrial metal piece. The male vocalist in the lead is singing using the fry scream technique. The distorted electric guitar is playing a heavy riff while there is a groovy bass line. There is a loud metal beat being played by the acoustic drums in the rhythmic background. Industrial sound effects can be heard which are distinctive to the industrial and nu metal scenes. The atmosphere is aggressive and energetic. This piece could be played at a rock/metal bar. It could also be included in the soundtrack of an action movie/video game.
Love Is Spoken Here - Jenny Oaks Baker - Music Video,7Vjp9y6wvkY,"This song is a soothing instrumental. The tempo is slow with a melancholic violin harmony, banjo and resonator accompaniment, sound of chimes and a sharp tinkle. The music is soft, soothing, melancholic, serene, meditative, pensive and nostalgic. The music uses country style instrumentation."
Alexz Johnson | Look At Those Eyes [],7YtKrL6ScXA,This song contains an e-piano playing a major and minor chord melody along with a minimalistic digital drum groove that has a delay on it. A female voice is singing with a little reverb on her voice. The song sounds minimalistic. There is a lot of room for the voice to sing and for the other instruments. A shaker sound is spun to the right side of the speaker. This song may be playing with headphones running through the park.
"Las Chuches - Amor, amor, amor",7_q36NyJtQY,"A female vocalist sings this romantic song in a foreign language that sounds like Spanish. The tempo is medium with a melodious guitar accompaniment, slick drumming, piano accompaniment, steady bass line and pandeireta rhythm. The song is soft, mellow, catchy, emotional and soothing. This song is a Folk Pop/Regional Pop song."
Chris Rea The Blue Cafe,7cvqeU9Wh-I,This is a soft rock/blues music piece. There is a male vocalist singing melodically in the lead. The electric guitar is playing bits and pieces of sound with the slide technique. There is a synth string sound in the background. The piece has a story-telling mood to it. The atmosphere is calm. This piece could be playing in the background at a coffee shop or a seaside restaurant.
Trance Music - For a Life Time (Sunset Mix),7e46Hfy5j8g,"The low quality recording features a trance song that consists of ambient wide synth pad chords, growly synth bass, another layer of synth bass stab and echoing female vocals over it. It sounds mystical, hypnotic and exciting."
Angel of Music - Emmy Rossum | Andrew Lloyd Webbers The Phantom of the Opera Soundtrack (Movie),7lG2zPKo9e4,"A female vocalist sings this sweet melody. The tempo is medium with a ukulele accompaniment. The song is dulcet, melodic,pleasant , euphonious, simple and sweet however the male vocal backup seems completely unrelated and dissonant. It changes the vibe of this song from sweet to creepy and eerie."
Movado- Last Night,7pYavsK9sPg,"The low quality recording features a reggae song that consists of a fruity male vocal singing over shimmering hi hats, groovy bass, organ keys, chords, claps and male vocal chants. It sounds addictive, groovy and muddy, due to the poor quality of the mix."
Old Hungarian music - Militaris congratulatio,81SgTHg66QY,"The low quality recording features a traditional, medieval song sung by reverberant low male vocals and followed by acoustic rhythm guitar. It is a bit noisy and it sounds traditional."
Canadian Brass: Perfect Landing CD Discussion,86YDiQjYU1U,A brass ensemble playing a fast piece with a quick tempo and virtuosity. Male voice over.
"Raul Malo, Seth Walker - Blue Eyes Crying In The Rain",886Qu4V0km4,Someone is playing a melody on a semi acoustic guitar along to a bass ukulele with a very big sound. In the background you can hear something like a harmonica playing a drone chord. This song may be playing at a local concert.
Snarky Puppy - Young Stuff (groundUP),8pYHLfKqHL4,"The Jazz song features a wide brass section playing over soft kick and rimshot hits, smooth bass guitar, mellow keys chords and soft electric guitar arpeggiated melody. It sounds relaxing, warm and calming - like something you would hear in waiting rooms."
The Galway Spirit,8tY6nioUQIw,This song features a flute being played at a high pitch. The melody is of a folk song. There are no other instruments in this song. There are no voices in this song. This song can be played in an animation movie featuring a person skipping in a forest.
"Jean-Philippe Rameau, La Poule",8yiJOImd6k0,"This music is instrumental . The tempo is fast with a vibrant and vivacious Harpsichord solo of the famous composition of the French composer Jean-Philippe Rameau. The music is complex, lively, spirited, enchanting, playful , engaging and a masterpiece."
Space Truckin' - Deep Purple,8zGJ9N7c6pE,This classic rock song features a hammond organ playing the main melody. This is backed by the percussion playing a simple beat. The percussion plays the hi-hat at every count and ends with a roll at the end of every bar. The bass plays the same melody as the hammond. There are no voices in this song. This is an instrumental song. This song can be played in a bank robbery scene in a movie.
Orq. Bronco - Duena De Mi Cuerpo,92QYLjfo68Q,This Latin pop song features a male voice singing the main melody. The voice sings at a high pitch. This is accompanied by Latin style percussion. A variety of percussion is used including the claves and cowbell. The bass plays a groovy bassline. The piano plays chords with a Latin feel. The brass section plays fills in between lines. This song has a romantic mood. This song can be played in a party for a slow dance.
Jason Mraz - Sleep All Day,95ThRxhl-ug,This song contains an acoustic drum and an e-bass playing along to someone strumming chords on an acoustic guitar. Panned to the right side of the speaker you can hear a mandolin playing a melody in a higher register. An e-piano is playing chords that are panned to the left side of the speakers. A male voice is singing at a higher pitch. This song may be playing when feeling happy.
ATJAZZ - It's complete,9KK6rg03bC8,"This music is instrumental. The tempo is medium with synthesiser harmony and jazz style drumming. The music is a collaboration of jazz and electronica. It is an experimental,futuristic,funky, psychedelic and Ambient Funk Jazz."
